trade_date,SG Trend Indicator,SG CTA Index,SG Trend Index,S&P 500 TR,sg_trend_indicator_ret,sg_cta_index_ret,sg_trend_index_ret,sp500_ret
2000-04-13,98.27,97.45,92.82,99.32,0.001324638271856582,0.0011300595849599304,0.0016186468112657781,-0.018091942659416826
2000-04-14,96.91,98.15,93.31,93.53,-0.013839422000610613,0.007183170856849719,0.0052790346907996,-0.058296415626258535
2000-04-17,98.15,98.34,93.3,96.62,0.012795377154060539,0.001935812531838943,-0.00010716964955526098,0.033037528065861244
2000-04-18,98.96,97.8,92.84,99.4,0.00825267447783995,-0.005491153142159866,-0.0049303322615219525,0.02877251086731536
2000-04-19,99.35,97.92,93.11,98.42,0.00394098625707362,0.0012269938650306678,0.0029082292115467645,-0.009859154929577452
2000-04-20,99.74,97.61,92.62,98.91,0.003925515853044903,-0.0031658496732026586,-0.005262592632370278,0.004978662873399653
2000-04-21,99.66,97.72,92.8,,-0.000802085422097476,0.001126933715807743,0.0019434247462750687,
2000-04-24,99.37,97.71,92.79,98.59,-0.0029098936383703533,-0.00010233319688912612,-0.00010775862068956865,
2000-04-25,99.97,98.09,93.33,101.87,0.006038039649793658,0.003889059461672284,0.005819592628515835,0.033269094228623564
2000-04-26,100.75,98.13,93.39,100.75,0.007802340702210753,0.00040778876541947007,0.0006428801028608433,-0.010994404633356325
2000-04-27,100.89,98.17,93.33,101.03,0.0013895781637716098,0.0004076225415265977,-0.0006424670735625249,0.0027791563275434417
2000-04-28,102.48,98.2,93.23,100.17,0.015759738328873008,0.0003055923398187499,-0.0010714668381013315,-0.008512323072354722
2000-05-01,102.83,97.67,92.41,101.26,0.003415300546448119,-0.005397148676171137,-0.008795452107690727,0.010881501447539188
2000-05-02,102.76,97.07,91.42,99.75,-0.000680735194009463,-0.0061431350465854795,-0.01071312628503407,-0.014912107446178213
2000-05-03,102.06,97.2,91.46,97.61,-0.006811989100817484,0.0013392397239107012,0.00043754101947057755,-0.021453634085213058
2000-05-04,102.22,97.12,91.28,97.23,0.0015677052714089257,-0.0008230452674896638,-0.0019680734747429263,-0.003893043745517799
2000-05-05,101.54,96.73,90.43,98.82,-0.006652318528663548,-0.004015650741350907,-0.009312007011393453,0.01635297747608755
2000-05-08,101.98,97.05,90.94,98.25,0.004333267677762542,0.0033081774010130793,0.005639721331416547,-0.0057680631451122455
2000-05-09,102.37,97.06,90.73,97.42,0.0038242792704452633,0.00010303967027303074,-0.0023092148669451307,-0.008447837150127202
2000-05-10,102.82,97.57,91.32,95.44,0.0043958190876232095,0.005254481763857344,0.006502810536757275,-0.020324368712789975
2000-05-11,103.62,98.42,93.17,97.17,0.007780587434351505,0.00871169416828943,0.020258431887866912,0.01812657166806364
2000-05-12,101.98,97.43,91.38,98.08,-0.01582706041304771,-0.010058931111562641,-0.019212192765911795,0.009365030359164361
2000-05-15,103.1,98.01,92.18,100.25,0.01098254559717593,0.0059529918916145785,0.008754650908295192,0.022124796084828757
2000-05-16,103.79,98.11,92.35,101.19,0.006692531522793477,0.001020304050606935,0.0018442178346711469,0.009376558603491292
2000-05-17,104.67,98.96,93.88,99.94,0.008478658830330499,0.00866374477627141,0.016567406605305868,-0.012352999308232082
2000-05-18,105.38,99.82,95.52,99.22,0.006783223464220889,0.008690379951495464,0.017469109501491165,-0.007204322593556078
2000-05-19,104.64,99.0,94.28,97.13,-0.007022205352059219,-0.008214786615908576,-0.012981574539363439,-0.02106430155210648
2000-05-22,104.82,98.6,93.35,96.7,0.0017201834862383691,-0.004040404040404066,-0.0098642341960119,-0.0044270565221866676
2000-05-23,105.24,98.73,93.44,94.85,0.00400686891814539,0.0013184584178500547,0.0009641135511515575,-0.019131334022750912
2000-05-24,106.07,99.75,95.03,96.59,0.007886735081718,0.010331206320267405,0.01701626712328763,0.018344754876120195
2000-05-25,106.1,99.51,94.52,95.38,0.0002828320920147398,-0.002406015037593967,-0.00536672629695889,-0.012527176726369271
2000-05-26,105.18,98.7,93.07,95.15,-0.008671065032987646,-0.008139885438649408,-0.015340668641557365,-0.0024114070035645696
2000-05-29,105.14,98.69,93.08,,-0.00038030043734560426,-0.00010131712259375814,0.00010744600838075158,
2000-05-30,104.36,98.46,92.8,98.23,-0.007418679855430876,-0.0023305299422434755,-0.003008165019338205,
2000-05-31,104.72,98.33,92.16,98.12,0.003449597546952843,-0.0013203331302050758,-0.006896551724137945,-0.0011198208286674616
2000-06-01,104.56,98.35,91.96,100.07,-0.0015278838808250317,0.00020339672531277664,-0.0021701388888889506,0.01987362413371363
2000-06-02,102.82,97.28,89.96,102.03,-0.016641162968630496,-0.010879511947127551,-0.02174858634188781,0.019586289597282036
2000-06-05,101.13,96.2,88.04,101.37,-0.01643649095506705,-0.011101973684210509,-0.021342819030680138,-0.006468685680682151
2000-06-06,99.54,95.53,87.12,100.69,-0.015722337585286184,-0.006964656964656979,-0.010449795547478491,-0.006708099043109428
2000-06-07,99.09,95.88,87.38,101.64,-0.004520795660036159,0.0036637705432847056,0.0029843893480256956,0.009434899195550628
2000-06-08,99.91,96.1,87.85,100.97,0.008275305278029998,0.002294534835210582,0.0053788052185854696,-0.00659189295552931
2000-06-09,100.57,96.76,89.04,100.65,0.006605945350815601,0.006867845993756561,0.013545816733067761,-0.0031692581955035104
2000-06-12,100.79,97.01,89.57,99.89,0.0021875310728847186,0.0025837122778007426,0.005952380952380709,-0.007550919026328873
2000-06-13,100.39,97.58,90.5,101.52,-0.003968647683301962,0.005875682919286529,0.010382940716757938,0.01631794974471923
2000-06-14,100.36,97.69,90.69,101.6,-0.0002988345452734631,0.001127280180364787,0.0020994475138120805,0.0007880220646176994
2000-06-15,100.34,97.11,90.05,102.17,-0.00019928258270218713,-0.00593714812160917,-0.00705700738780457,0.005610236220472409
2000-06-16,99.87,97.37,90.07,101.19,-0.004684074147897177,0.0026773761713521083,0.0002220988339811658,-0.009591856709405877
2000-06-19,99.8,96.86,89.36,102.68,-0.0007009111845399651,-0.005237752901304349,-0.007882757855001588,0.014724775175412708
2000-06-20,99.66,96.85,89.47,101.99,-0.001402805611222413,-0.00010324179227760855,0.0012309758281110472,-0.006719906505648687
2000-06-21,99.74,96.51,89.19,102.21,0.0008027292795504959,-0.0035105833763551253,-0.0031295406281435234,0.0021570742229630735
2000-06-22,100.14,96.14,88.9,100.35,0.004010427110487269,-0.0038337996062585145,-0.00325148559255517,-0.018197828001174088
2000-06-23,100.73,96.41,89.24,99.61,0.005891751547833168,0.002808404410234999,0.0038245219347581294,-0.007374190333831576
2000-06-26,101.22,96.41,89.28,100.57,0.004864489228630919,0.0,0.00044822949350065144,0.009637586587691871
2000-06-27,100.37,96.48,89.32,100.24,-0.008397549891325795,0.0007260657608132437,0.00044802867383508804,-0.003281296609326856
2000-06-28,99.89,96.28,89.13,100.55,-0.004782305469761883,-0.0020729684908790125,-0.0021271831616659354,0.0030925778132482318
2000-06-29,99.86,96.76,89.88,99.69,-0.00030033036339971453,0.004985459077690102,0.008414675193537446,-0.008552958727001458
